,Lat,Temp,Humidity,Wind,Clouds
busselton,-33.64,54.64,98,12.46,100
sisimiut,66.94,39.48,89,9.1,32
hermanus,-34.42,55.56,86,5.01,0
oyugis,-0.51,69.8,77,5.82,75
aklavik,68.22,73.4,35,11.41,90
pacific grove,36.62,63.32,77,8.05,90
punta arenas,-53.16,26.28,92,8.05,40
wanning,48.64,55.0,63,4.7,26
kostomuksha,64.59,52.26,92,8.59,57
bredasdorp,-34.53,52.93,87,8.05,0
robertsport,6.75,77.46,89,8.57,100
ushuaia,-54.81,24.8,92,10.29,0
albany,42.65,69.13,69,3.36,75
hilo,19.71,73.17,61,11.41,90
chapais,49.78,68.0,68,2.24,75
saint george,39.45,67.28,55,0.96,20
nouadhibou,20.93,69.8,73,19.46,0
hojai,26.0,85.2,78,2.57,57
hofn,64.25,39.84,98,2.98,100
bluff,-23.58,66.3,64,14.63,100
vila velha,-3.71,75.9,88,4.7,20
cidreira,-30.17,47.4,66,11.41,0
georgetown,6.8,78.66,100,4.7,75
qom,34.64,76.74,29,6.8,0
verkhnyaya inta,65.99,77.28,51,12.17,100
sorland,67.67,48.12,80,19.64,67
tiksi,71.64,37.68,93,7.81,100
chokurdakh,70.62,46.14,67,4.0,96
paragominas,-3.0,70.98,96,3.11,0
mahebourg,-20.41,68.59,94,3.36,40
arraial do cabo,-22.97,68.0,88,4.7,0
pati,-21.2,70.81,49,9.17,0
butaritari,3.07,84.12,67,2.77,17
avera,33.19,81.63,78,4.7,1
nikolskoye,59.7,53.87,87,15.66,90
cockburn town,21.46,81.96,82,17.22,41
vaini,15.34,73.4,94,5.82,75
qaanaaq,77.48,46.14,48,3.58,100
cape town,-33.93,53.78,93,4.7,40
ciudad bolivar,8.12,78.72,74,8.75,79
svolvaer,68.23,46.27,90,1.01,100
dhidhdhoo,6.88,83.4,75,9.01,95
panguipulli,-39.64,40.46,100,2.24,20
shahr-e kord,32.33,53.6,50,2.24,0
rikitea,-23.12,67.02,75,25.26,79
conakry,9.52,80.6,94,9.17,75
lebu,8.96,58.02,83,0.76,81
cam ranh,11.92,89.6,55,19.46,40
shitkino,56.37,77.64,38,4.36,0
jamestown,-33.21,56.58,58,8.03,0
caravelas,-17.73,73.86,89,10.87,1
carman,49.51,60.93,100,4.81,90
aykhal,65.95,59.0,72,6.71,40
rio gallegos,-51.62,26.6,92,6.93,0
kapaa,22.08,81.72,70,9.17,40
ancud,-41.87,37.4,100,1.12,75
torbay,47.66,51.1,93,8.05,90
tingo maria,-9.29,40.02,94,1.83,68
new norfolk,-42.78,51.37,66,6.93,20
ostrovnoy,68.05,48.12,94,5.95,100
mineiros,-17.57,66.66,65,7.25,20
rameshki,57.35,49.02,87,11.45,100
carnarvon,-30.97,42.54,35,6.33,0
quatre cocos,-20.21,68.54,94,3.36,40
calvinia,-31.47,48.12,33,6.24,0
yellowknife,62.45,55.17,71,17.22,75
byron bay,-28.65,64.08,100,6.93,40
karasjok,69.47,44.6,100,18.34,100
champerico,16.38,82.4,69,9.17,75
adrar,27.87,93.2,11,12.75,0
cheyenne,41.14,73.47,60,8.05,1
dingle,11.0,84.66,72,4.97,99
cherskiy,68.75,54.6,49,3.91,96
esperance,-33.86,59.0,44,23.04,99
port lincoln,-34.72,56.76,73,15.88,0
mataura,-46.19,48.0,78,3.0,33
