,Lat,Temp,Humidity,Wind,Clouds
luderitz,-26.65,51.8,100,9.17,0
rikitea,-23.12,71.01,64,9.6,83
busselton,-33.64,42.96,70,18.45,61
bluff,-23.58,67.89,60,6.22,43
vardo,39.62,75.04,83,4.83,40
noumea,-22.28,78.8,54,5.82,75
jamestown,-33.21,56.68,51,5.7,65
andra,62.52,50.87,92,9.35,36
sambava,-14.27,62.28,87,3.69,2
ushuaia,-54.81,28.4,86,17.22,90
port elizabeth,39.31,76.69,88,5.3,1
ngaoundere,7.32,64.69,93,1.16,100
tucupita,9.06,76.14,88,3.74,47
abha,18.22,60.8,87,6.93,20
kaifeng,34.8,77.0,94,2.24,100
soyo,-6.13,71.19,92,7.94,54
hobart,-42.88,50.36,50,18.34,40
severo-kurilsk,50.68,49.08,98,20.36,100
vao,59.1,53.66,94,4.05,46
avenal,36.0,98.11,22,8.05,40
cayenne,4.94,77.0,94,1.12,0
poum,41.28,57.78,60,1.95,0
hilo,19.71,78.93,66,18.34,1
albany,42.65,71.06,88,5.82,90
savelugu,9.63,75.65,81,6.8,5
kaeo,-35.1,59.38,100,8.93,11
saint george,39.45,67.03,77,1.45,0
cape town,-33.93,54.88,93,9.17,75
limon,39.26,84.7,31,12.75,1
port alfred,-33.59,61.0,65,4.0,2
yarmouth,43.84,63.1,72,14.27,75
capreol,46.71,72.79,53,3.36,40
laguna,16.17,86.0,74,4.7,40
vaini,15.34,71.6,94,13.87,75
skibbereen,51.55,57.2,87,8.05,75
mataura,-46.19,51.01,74,3.0,100
kruisfontein,-34.0,54.36,47,7.52,41
dikson,73.51,40.25,100,6.24,98
kaitangata,-46.28,48.99,64,5.01,100
georgetown,6.8,79.5,78,4.7,20
chunoyar,57.45,67.25,68,3.09,2
longyearbyen,78.22,46.4,75,5.82,75
ilulissat,69.22,46.4,61,2.24,75
yellowknife,62.45,55.18,71,12.75,75
punta arenas,-53.16,30.09,86,26.4,20
norman wells,65.28,60.8,51,2.24,90
gornozavodsk,58.37,47.01,96,14.79,100
ronneby,56.21,55.87,100,3.36,61
bredasdorp,-34.53,42.8,93,3.36,56
oktyabrskiy,55.61,52.9,81,4.47,0
leshukonskoye,64.9,45.38,90,11.39,99
isangel,-19.55,82.4,65,13.87,75
tombouctou,16.77,84.89,60,2.44,100
puerto ayora,-0.74,69.35,73,17.22,75
tiksi,71.64,46.6,80,13.85,88
east london,-33.02,53.28,42,4.52,4
ahipara,-35.17,63.0,100,17.13,4
shingu,33.72,84.2,79,10.29,40
fortuna,40.6,62.91,82,9.17,90
dingle,11.0,78.35,85,14.72,100
uddevalla,58.35,57.65,100,5.82,28
parsabad,39.65,68.0,64,6.93,90
salalah,17.01,77.0,100,5.82,90
chuy,-33.69,61.41,88,10.29,17
dicabisagan,17.08,78.3,91,3.51,100
ola,59.58,51.6,88,8.93,94
upata,8.02,79.0,89,1.01,72
toamasina,-18.17,62.6,93,2.19,20
qaanaaq,77.48,45.12,56,3.02,72
saint anthony,43.97,88.48,15,4.7,1
castro,-42.48,37.4,100,4.97,40
barrow,-38.31,46.13,54,8.55,0
hirna,9.22,60.24,73,2.55,77
thompson,55.74,59.0,77,10.29,75
haibara,34.53,89.01,62,8.05,40
bilibino,68.06,59.81,66,9.01,99
pio xii,-3.89,73.4,68,0.67,0
ancud,-41.87,37.4,100,10.45,40
pevek,69.7,40.64,99,2.04,100
mar del plata,-46.43,40.77,42,23.31,0
taltal,-25.41,47.9,89,4.7,0
hermanus,-34.42,54.0,85,4.0,47
marawi,8.0,82.99,76,3.0,100
new norfolk,-42.78,50.56,50,18.34,40
marzuq,14.4,79.47,43,4.5,34
kjollefjord,70.95,43.59,85,9.51,100
chokurdakh,70.62,59.18,48,4.36,0
jega,12.22,79.4,75,6.11,23
kavieng,-2.57,81.66,80,10.56,98
bambous virieux,-20.34,68.56,94,6.13,75
zephyrhills,28.23,81.43,88,11.41,90
elko,40.83,92.59,11,12.75,1
vila do maio,15.13,77.0,65,10.29,40
atuona,-9.8,79.7,75,19.24,0
mehamn,71.03,41.36,88,8.52,100
kargasok,59.06,62.3,72,8.68,97
touros,-5.2,73.4,94,4.7,75
goderich,43.74,69.62,88,4.0,100
saint-philippe,45.36,74.01,61,10.29,75
komsomolskoye,45.02,59.78,71,4.16,0
sorland,67.67,55.33,76,7.09,0
axim,4.87,74.52,92,8.68,82
lagoa,37.14,71.06,69,2.24,0
lavrentiya,65.58,59.88,58,4.32,59
leningradskiy,69.38,45.83,96,3.96,100
hithadhoo,-0.6,83.48,73,9.28,99
acapulco,16.86,84.2,70,6.93,75
alice springs,-23.7,69.8,26,10.29,0
sinazongwe,-17.26,68.04,42,3.44,4
westport,41.14,72.55,88,5.73,1
katete,-0.78,62.75,84,2.06,0
miyako,33.63,87.12,83,3.36,75
pimenta bueno,-11.68,76.23,44,1.99,1
hami,42.84,75.99,72,11.12,98
erzin,36.95,77.43,88,4.7,0
sechura,-5.56,63.74,84,12.12,70
mishelevka,52.86,56.05,64,8.59,0
bereda,43.27,64.78,100,4.7,75
lakes entrance,-37.88,55.98,63,1.01,94
avarua,-21.21,75.2,73,11.41,99
whitehorse,60.72,62.89,77,3.36,75
kodiak,39.95,82.24,65,4.7,1
broome,52.47,60.66,87,10.29,0
mana,13.03,79.59,68,7.67,2
torbay,47.66,57.51,82,8.05,5
yukon,35.51,94.37,32,8.05,1
ulundi,-28.29,55.2,95,3.62,92
sovetskiy,56.76,46.2,95,11.16,84
arlit,18.74,89.98,42,18.25,27
konevo,41.67,68.0,63,1.01,0
aklavik,68.22,42.8,81,9.17,90
dukat,40.25,69.06,64,2.89,0
faanui,-16.48,78.77,76,12.44,0
hamilton,43.26,72.61,88,4.7,75
kahului,20.89,81.21,1,7.0,51
ginda,30.69,77.0,94,2.24,90
nikolskoye,59.7,46.38,93,4.47,2
bairnsdale,-37.83,55.94,63,1.01,94
jalu,29.03,77.85,49,7.92,0
deputatskiy,69.3,56.25,62,5.68,57
kendari,-3.99,76.77,78,2.13,73
dobrinka,52.17,51.55,84,7.78,0
bonavista,48.65,55.0,81,8.01,70
jiangyou,31.78,66.58,82,1.97,0
aripuana,-9.17,78.75,50,0.36,61
balikpapan,-1.24,72.65,88,4.14,100
kapaa,22.08,85.62,70,11.41,40
port pirie,-33.18,57.2,82,5.14,40
viedma,-40.81,45.52,42,8.16,0
rauma,61.13,55.4,93,2.24,59
port hedland,-20.31,69.8,30,12.75,0
richards bay,-28.77,69.42,71,12.75,6
kavaratti,10.57,83.21,76,24.61,100
kajaani,64.22,37.4,93,2.24,0
geraldton,49.72,71.6,56,13.87,75
beloha,-25.17,64.26,83,7.38,0
segezha,63.74,44.91,93,4.79,95
najran,17.54,80.6,47,10.29,5
karratha,-20.74,66.85,34,18.57,0
lasa,34.92,74.03,83,4.7,20
vestmannaeyjar,63.44,51.68,83,6.73,100
chicama,-7.84,60.8,87,10.29,90
bethel,60.79,58.8,93,17.22,90
arraial do cabo,-22.97,68.74,84,22.01,67
sitka,37.17,97.07,25,10.85,43
sabya,17.15,77.0,94,6.93,75
guerrero negro,27.97,67.1,89,12.66,93
trenggalek,-8.05,66.35,82,4.72,100
carnarvon,-30.97,47.39,26,10.6,0
ribeira grande,38.52,74.1,90,17.87,6
muyezerskiy,63.93,44.39,90,4.59,84
wanning,48.64,64.0,82,3.36,100
upernavik,72.79,43.23,81,4.76,0
airai,-8.93,78.26,57,0.72,4
khatanga,71.98,56.39,85,26.24,97
fairbanks,64.84,66.87,56,5.82,75
kastamonu,41.38,47.64,94,1.63,0
hualmay,-11.1,60.32,86,16.37,18
tilichiki,60.47,58.86,70,8.5,87
yopal,5.34,61.79,97,2.55,51
port hardy,50.7,62.6,82,11.41,20
ucluelet,48.94,73.11,82,6.93,40
saint-pierre,48.95,63.34,93,12.75,87
portland,43.66,68.79,83,8.05,90
evensk,61.92,53.64,87,1.5,100
chimore,-16.98,61.23,55,4.09,0
katsina,12.99,75.69,83,8.23,17
harper,30.3,91.74,39,8.05,40
olden,61.84,54.01,98,1.99,93
butaritari,3.07,85.44,69,10.89,97
bathsheba,13.22,79.23,83,5.82,40
plavinas,56.62,52.43,98,5.3,11
san juan,-31.54,44.82,33,6.62,0
masuguru,-11.38,67.43,79,3.27,7
merauke,-8.49,76.89,86,16.22,85
omsukchan,62.53,50.43,85,4.61,100
guanica,17.97,80.55,88,6.93,1
constitucion,23.99,70.93,44,9.17,75
coquimbo,-29.95,51.8,87,5.82,0
klaksvik,62.23,50.0,87,11.41,100
belmonte,40.36,69.4,59,3.56,100
nizwa,22.93,88.7,36,1.97,52
kieta,-6.22,79.47,78,0.87,94
batagay-alyta,67.8,53.39,64,5.03,59
iqaluit,63.75,46.18,70,5.82,40
ponta do sol,-20.63,61.59,80,6.15,6
galveston,40.58,77.99,69,3.36,90
nanortalik,60.14,41.29,95,0.38,100
redmond,47.67,80.33,39,6.93,1
sao filipe,14.9,73.92,80,14.99,24
mahebourg,-20.41,68.58,94,6.13,75
beringovskiy,63.05,69.14,54,4.59,0
matara,-3.48,52.4,64,1.63,0
